sequence,key,current,newValue,before_json,before_ui,after_json,after_ui,repo_status,crowdin_status,crowdin_verified,verification_status
176,study.hints.tapToRevealGerman,"Klikšķini uz kartītes, lai redzētu vācu vārdu.","Klick op d'Kaart, fir dat däitscht Wuert ze gesinn.","Klick op d'Kaart, fir dat däitscht Wuert ze gesinn.","Klick op d'Kaart, fir dat däitscht Wuert ze gesinn.","Klick op d'Kaart, fir dat däitscht Wuert ze gesinn.","Klick op d'Kaart, fir dat däitscht Wuert ze gesinn.",already_applied,already_applied,YES,already_pass
177,study.minimal.noteLabel,Norāde:,Hiweis:,Hiweis:,Hiweis:,Hiweis:,Hiweis:,already_applied,already_applied,YES,already_pass
178,study.sections.comparison,Salīdzinājums,Verglach,Verglach,Verglach,Verglach,Verglach,already_applied,already_applied,YES,already_pass
179,study.sections.comparisonBadge,SALĪDZINĀJUMA KARTĪTE,VERGLÄICHSKAART,VERGLÄICHSKAART,VERGLÄICHSKAART,VERGLÄICHSKAART,VERGLÄICHSKAART,already_applied,already_applied,YES,already_pass
180,study.sections.comparisonFocus,Svarīgs salīdzinājums,Wichtege Verglach,Wichtege Verglach,Wichtege Verglach,Wichtege Verglach,Wichtege Verglach,already_applied,already_applied,YES,already_pass
181,study.sections.examples,Piemēri,Beispiller,Beispiller,Beispiller,Beispiller,Beispiller,already_applied,already_applied,YES,already_pass
182,study.sections.important,Svarīgi,Wichteg,Wichteg,Wichteg,Wichteg,Wichteg,already_applied,already_applied,YES,already_pass
183,study.sections.mainIdea,Galvenā doma,Haaptiddi,Haaptiddi,Haaptiddi,Haaptiddi,Haaptiddi,already_applied,already_applied,YES,already_pass
184,study.sections.mistakes,Tipiskās kļūdas,Typesch Feeler,Typesch Feeler,Typesch Feeler,Typesch Feeler,Typesch Feeler,already_applied,already_applied,YES,already_pass
185,study.table.example,Piemērs,Beispill,Beispill,Beispill,Beispill,Beispill,already_applied,already_applied,YES,already_pass
186,study.table.mainMeaning,Galvenā nozīme,Haaptbedeitung,Haaptbedeitung,Haaptbedeitung,Haaptbedeitung,Haaptbedeitung,already_applied,already_applied,YES,already_pass
187,study.table.meaning,Nozīme,Bedeitung,Bedeitung,Bedeitung,Bedeitung,Bedeitung,already_applied,already_applied,YES,already_pass
188,study.table.word,Vārds,Wuert,Wuert,Wuert,Wuert,Wuert,already_applied,already_applied,YES,already_pass
189,tools.problemFull,Problemātiskie vārdi,Problemwierder,Problemwierder,Problemwierder,Problemwierder,Problemwierder,already_applied,already_applied,YES,already_pass
190,tools.problemWithCount,Problemātiskie vārdi ({count}),Problemwierder ({count}),Problemwierder ({count}),Problemwierder ({count}),Problemwierder ({count}),Problemwierder ({count}),already_applied,already_applied,YES,already_pass
191,tools.spellingFull,Pareizrakstība,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,already_applied,already_applied,YES,already_pass
192,verb.guessInfinitive,Uzmini infinitīvu,Erréit den Infinitiv,Erréit den Infinitiv,Erréit den Infinitiv,Erréit den Infinitiv,Erréit den Infinitiv,already_applied,already_applied,YES,already_pass
193,verb.guessPastParticiple,Uzmini pagātnes divdabi,Erréit de Partizip II,Erréit de Partizip II,Erréit de Partizip II,Erréit de Partizip II,Erréit de Partizip II,already_applied,already_applied,YES,already_pass
194,verb.hintTapAnswer,"Klikšķini uz kartītes, lai redzētu atbildi.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.",already_applied,already_applied,YES,already_pass
195,verb.hintTapSwitch,"Klikšķini uz kartītes, lai pārslēgtu formu.","Klick op d'Kaart, fir d'Form ze wiesselen.","Klick op d'Kaart, fir d'Form ze wiesselen.","Klick op d'Kaart, fir d'Form ze wiesselen.","Klick op d'Kaart, fir d'Form ze wiesselen.","Klick op d'Kaart, fir d'Form ze wiesselen.",already_applied,already_applied,YES,already_pass
196,verb.imperfectIndicative,Imperfekts - Indikatīvs,Imperfekt – Indikativ,Imperfekt – Indikativ,Imperfekt – Indikativ,Imperfekt – Indikativ,Imperfekt – Indikativ,already_applied,already_applied,YES,already_pass
197,verb.imperfectSubjunctive,Imperfekts - Konjunktīvs,Imperfekt – Konjunktiv,Imperfekt – Konjunktiv,Imperfekt – Konjunktiv,Imperfekt – Konjunktiv,Imperfekt – Konjunktiv,already_applied,already_applied,YES,already_pass
198,verb.infinitive,Infinitīvs,Infinitiv,Infinitiv,Infinitiv,Infinitiv,Infinitiv,already_applied,already_applied,YES,already_pass
199,verb.noShuffleForms,Šim darbības vārdam nav pietiekami daudz formu jaukšanai.,Dëst Verb huet net genuch Forme fir ze mëschen.,Dëst Verb huet net genuch Forme fir ze mëschen.,Dëst Verb huet net genuch Forme fir ze mëschen.,Dëst Verb huet net genuch Forme fir ze mëschen.,Dëst Verb huet net genuch Forme fir ze mëschen.,already_applied,already_applied,YES,already_pass
200,verb.pastParticiple,Pagātnes divdabis,Partizip II,Partizip II,Partizip II,Partizip II,Partizip II,already_applied,already_applied,YES,already_pass
201,verb.writeInfinitive,Uzraksti infinitīvu,Schreif den Infinitiv,Schreif den Infinitiv,Schreif den Infinitiv,Schreif den Infinitiv,Schreif den Infinitiv,already_applied,already_applied,YES,already_pass
202,verb.writePastParticiple,Uzraksti pagātnes divdabi,Schreif de Partizip II,Schreif de Partizip II,Schreif de Partizip II,Schreif de Partizip II,Schreif de Partizip II,already_applied,already_applied,YES,already_pass
